"Time","requests","fail"
2021-04-06 15:57:10,0,0
2021-04-06 15:57:15,0,0
2021-04-06 15:57:20,0,0
2021-04-06 15:57:25,0,0
2021-04-06 15:57:30,0,0
2021-04-06 15:57:35,1.86,0
2021-04-06 15:57:40,2.60,0
2021-04-06 15:57:45,3.90,0
2021-04-06 15:57:50,4.70,0
2021-04-06 15:57:55,6.20,0
2021-04-06 15:58:00,6.70,0
2021-04-06 15:58:05,8.10,0
2021-04-06 15:58:10,10.3,0
2021-04-06 15:58:15,10.4,0
2021-04-06 15:58:20,12,0
2021-04-06 15:58:25,13.5,0
2021-04-06 15:58:30,13.9,0
2021-04-06 15:58:35,15.4,0
2021-04-06 15:58:40,15.8,0
2021-04-06 15:58:45,17.6,0
2021-04-06 15:58:50,18.5,0
2021-04-06 15:58:55,20.7,0
2021-04-06 15:59:00,20.9,0
2021-04-06 15:59:05,22.2,0
2021-04-06 15:59:10,23,0
2021-04-06 15:59:15,22.6,0
2021-04-06 15:59:20,23.3,0
2021-04-06 15:59:25,26.2,0
2021-04-06 15:59:30,27.7,0
2021-04-06 15:59:35,28.6,0
2021-04-06 15:59:40,29,0
2021-04-06 15:59:45,31.2,0
2021-04-06 15:59:50,32.7,0
2021-04-06 15:59:55,32.4,0
2021-04-06 16:00:00,36.9,0
2021-04-06 16:00:05,35.6,0
2021-04-06 16:00:10,35.8,0
2021-04-06 16:00:15,37.6,0
2021-04-06 16:00:20,35.4,0
2021-04-06 16:00:25,37.2,0
2021-04-06 16:00:30,39.2,0
2021-04-06 16:00:35,39.6,0
2021-04-06 16:00:40,41.8,0
2021-04-06 16:00:45,45.7,0
2021-04-06 16:00:50,48.7,0
2021-04-06 16:00:55,45.9,0
2021-04-06 16:01:00,46.7,0
2021-04-06 16:01:05,48.7,0
2021-04-06 16:01:10,50.8,0
2021-04-06 16:01:15,50.6,0
2021-04-06 16:01:20,51.6,0
2021-04-06 16:01:25,54,0
2021-04-06 16:01:30,55,0
2021-04-06 16:01:35,54.4,0
2021-04-06 16:01:40,58.2,0
2021-04-06 16:01:45,56.3,0
2021-04-06 16:01:50,55.4,0
2021-04-06 16:01:55,60.6,0
2021-04-06 16:02:00,59.7,0
2021-04-06 16:02:05,57.8,0
2021-04-06 16:02:10,61.2,0
2021-04-06 16:02:15,61.9,0
2021-04-06 16:02:20,64.5,0
2021-04-06 16:02:25,67.8,0
2021-04-06 16:02:30,70.1,0
2021-04-06 16:02:35,67.9,0
2021-04-06 16:02:40,68.1,0
2021-04-06 16:02:45,66.3,0
2021-04-06 16:02:50,65.6,0
2021-04-06 16:02:55,69,0
2021-04-06 16:03:00,72.9,0
