"Time","Requests","Fail"
2021-03-08 16:16:45,175,0
2021-03-08 16:16:50,161,0
2021-03-08 16:16:55,176,0
2021-03-08 16:17:00,169,0
2021-03-08 16:17:05,183,0
2021-03-08 16:17:10,185,0
2021-03-08 16:17:15,181,0
2021-03-08 16:17:20,180,0
2021-03-08 16:17:25,161,0
2021-03-08 16:17:30,185,0
2021-03-08 16:17:35,186,0
2021-03-08 16:17:40,186,0
2021-03-08 16:17:45,201,0
2021-03-08 16:17:50,199,0
2021-03-08 16:17:55,192,0
2021-03-08 16:18:00,191,0
2021-03-08 16:18:05,188,0
2021-03-08 16:18:10,192,0
2021-03-08 16:18:15,185,0
2021-03-08 16:18:20,194,0
2021-03-08 16:18:25,196,0
2021-03-08 16:18:30,199,0
2021-03-08 16:18:35,200,0
2021-03-08 16:18:40,198,0
2021-03-08 16:18:45,192,0
2021-03-08 16:18:50,195,0
2021-03-08 16:18:55,211,0
2021-03-08 16:19:00,181,0
2021-03-08 16:19:05,187,0
2021-03-08 16:19:10,208,0
2021-03-08 16:19:15,207,0
2021-03-08 16:19:20,208,0
2021-03-08 16:19:25,211,0
2021-03-08 16:19:30,211,0
2021-03-08 16:19:35,211,0
2021-03-08 16:19:40,217,0
2021-03-08 16:19:45,215,0
2021-03-08 16:19:50,214,0
2021-03-08 16:19:55,209,0
2021-03-08 16:20:00,215,0
2021-03-08 16:20:05,228,0
2021-03-08 16:20:10,211,0
2021-03-08 16:20:15,209,0
2021-03-08 16:20:20,209,0
2021-03-08 16:20:25,214,0
2021-03-08 16:20:30,219,0
2021-03-08 16:20:35,212,0
2021-03-08 16:20:40,219,0
2021-03-08 16:20:45,219,0
2021-03-08 16:20:50,219,0
2021-03-08 16:20:55,201,0
2021-03-08 16:21:00,215,0
2021-03-08 16:21:05,225,0
2021-03-08 16:21:10,212,0
2021-03-08 16:21:15,198,0
2021-03-08 16:21:20,197,0
2021-03-08 16:21:25,200,0
2021-03-08 16:21:30,201,0
2021-03-08 16:21:35,214,0
2021-03-08 16:21:40,208,0
2021-03-08 16:21:45,207,0
2021-03-08 16:21:50,202,0
2021-03-08 16:21:55,236,0
2021-03-08 16:22:00,213,0
2021-03-08 16:22:05,210,0
2021-03-08 16:22:10,225,0
2021-03-08 16:22:15,225,0
2021-03-08 16:22:20,194,0
2021-03-08 16:22:25,233,0
2021-03-08 16:22:30,188,0
2021-03-08 16:22:35,200,0
2021-03-08 16:22:40,208,0
2021-03-08 16:22:45,212,0
2021-03-08 16:22:50,202,0
2021-03-08 16:22:55,212,0
2021-03-08 16:23:00,207,0
