"Time","requests","fail"
2021-05-23 16:04:05,,
2021-05-23 16:04:10,,
2021-05-23 16:04:15,,
2021-05-23 16:04:20,,
2021-05-23 16:04:25,,
2021-05-23 16:04:30,0,0
2021-05-23 16:04:35,0,0
2021-05-23 16:04:40,0,0
2021-05-23 16:04:45,0.857,0
2021-05-23 16:04:50,1.80,0
2021-05-23 16:04:55,3.60,0
2021-05-23 16:05:00,4.50,0
2021-05-23 16:05:05,5.40,0
2021-05-23 16:05:10,7,0
2021-05-23 16:05:15,7.80,0
2021-05-23 16:05:20,8.80,0
2021-05-23 16:05:25,8.80,0
2021-05-23 16:05:30,9.70,0
2021-05-23 16:05:35,12.3,0
2021-05-23 16:05:40,13.6,0
2021-05-23 16:05:45,15.3,0
2021-05-23 16:05:50,16.2,0
2021-05-23 16:05:55,15.8,0
2021-05-23 16:06:00,16.8,0
2021-05-23 16:06:05,18.3,0
2021-05-23 16:06:10,17.8,0
2021-05-23 16:06:15,20.4,0
2021-05-23 16:06:20,21.9,0
2021-05-23 16:06:25,22.2,0
2021-05-23 16:06:30,24.4,0
2021-05-23 16:06:35,24.7,0
2021-05-23 16:06:40,23.6,0
2021-05-23 16:06:45,26.2,0
2021-05-23 16:06:50,28.5,0
2021-05-23 16:06:55,29.3,0
2021-05-23 16:07:00,30.4,0
2021-05-23 16:07:05,31.9,0
2021-05-23 16:07:10,31.1,0
2021-05-23 16:07:15,33.6,0
2021-05-23 16:07:20,34.2,0
2021-05-23 16:07:25,31.4,0
2021-05-23 16:07:30,34.5,0
2021-05-23 16:07:35,39.6,0
2021-05-23 16:07:40,41.2,0
2021-05-23 16:07:45,41.4,0
2021-05-23 16:07:50,42.7,0
2021-05-23 16:07:55,42.6,0
2021-05-23 16:08:00,43.2,0
2021-05-23 16:08:05,47.2,0
2021-05-23 16:08:10,49.2,0
2021-05-23 16:08:15,48.9,0
2021-05-23 16:08:20,49,0
2021-05-23 16:08:25,51.3,0
2021-05-23 16:08:30,51.4,0
2021-05-23 16:08:35,50.8,0
2021-05-23 16:08:40,55.2,0
2021-05-23 16:08:45,54.9,0
2021-05-23 16:08:50,53.3,0
2021-05-23 16:08:55,52.1,0
2021-05-23 16:09:00,53.2,0
2021-05-23 16:09:05,59.6,0
2021-05-23 16:09:10,62.4,0
2021-05-23 16:09:15,59.6,0
2021-05-23 16:09:20,60.7,0
2021-05-23 16:09:25,63.2,0
2021-05-23 16:09:30,64.4,0
2021-05-23 16:09:35,65.5,0
2021-05-23 16:09:40,63.6,0
2021-05-23 16:09:45,64.9,0
