"Time","requests","fail"
2021-05-04 16:27:15,212,0
2021-05-04 16:27:20,212,0
2021-05-04 16:27:25,212,0
2021-05-04 16:27:30,212,0
2021-05-04 16:27:35,212,0
2021-05-04 16:27:40,212,0
2021-05-04 16:27:45,212,0
2021-05-04 16:27:50,0,0
2021-05-04 16:27:55,0,0
2021-05-04 16:28:00,1,0
2021-05-04 16:28:05,1.67,0
2021-05-04 16:28:10,2.20,0
2021-05-04 16:28:15,3.50,0
2021-05-04 16:28:20,4.70,0
2021-05-04 16:28:25,6.40,0
2021-05-04 16:28:30,7.60,0
2021-05-04 16:28:35,8.30,0
2021-05-04 16:28:40,9.60,0
2021-05-04 16:28:45,10.5,0
2021-05-04 16:28:50,11.7,0
2021-05-04 16:28:55,11.7,0
2021-05-04 16:29:00,11.2,0
2021-05-04 16:29:05,13,0
2021-05-04 16:29:10,15.4,0
2021-05-04 16:29:15,17.6,0
2021-05-04 16:29:20,17.9,0
2021-05-04 16:29:25,18.2,0
2021-05-04 16:29:30,20.2,0
2021-05-04 16:29:35,20.2,0
2021-05-04 16:29:40,19.9,0
2021-05-04 16:29:45,23,0
2021-05-04 16:29:50,24,0
2021-05-04 16:29:55,24,0
2021-05-04 16:30:00,27,0
2021-05-04 16:30:05,27.2,0
2021-05-04 16:30:10,28.7,0
2021-05-04 16:30:15,29.9,0
2021-05-04 16:30:20,30.7,0
2021-05-04 16:30:25,32.2,0
2021-05-04 16:30:30,34.6,0
2021-05-04 16:30:35,35.7,0
2021-05-04 16:30:40,37.4,0
2021-05-04 16:30:45,36.6,0
2021-05-04 16:30:50,38,0
2021-05-04 16:30:55,40.4,0
2021-05-04 16:31:00,40.4,0
2021-05-04 16:31:05,40.7,0
2021-05-04 16:31:10,41.5,0
2021-05-04 16:31:15,41.9,0
2021-05-04 16:31:20,44.1,0
2021-05-04 16:31:25,46.6,0
2021-05-04 16:31:30,47.4,0
2021-05-04 16:31:35,50,0
2021-05-04 16:31:40,51.7,0
2021-05-04 16:31:45,48.1,0
2021-05-04 16:31:50,52.1,0
2021-05-04 16:31:55,51.7,0
2021-05-04 16:32:00,52.5,0
2021-05-04 16:32:05,52.2,0
2021-05-04 16:32:10,52.1,0
2021-05-04 16:32:15,56.4,0
2021-05-04 16:32:20,58,0
2021-05-04 16:32:25,57.1,0
2021-05-04 16:32:30,62.1,0
2021-05-04 16:32:35,61.1,0
2021-05-04 16:32:40,60.8,0
2021-05-04 16:32:45,63.1,0
2021-05-04 16:32:50,62.9,0
2021-05-04 16:32:55,65.9,0
2021-05-04 16:33:00,69.6,0
2021-05-04 16:33:05,65.5,0
2021-05-04 16:33:10,68.4,0
2021-05-04 16:33:15,72,0
2021-05-04 16:33:20,72.2,0
2021-05-04 16:33:25,73.8,0
2021-05-04 16:33:30,71.8,0
2021-05-04 16:33:35,74.9,0
2021-05-04 16:33:40,74.8,0
2021-05-04 16:33:45,75.8,0
2021-05-04 16:33:50,80.2,0
2021-05-04 16:33:55,79.9,0
2021-05-04 16:34:00,80.8,0
2021-05-04 16:34:05,82.4,0
2021-05-04 16:34:10,79.8,0
2021-05-04 16:34:15,85.4,0
2021-05-04 16:34:20,84.8,0
2021-05-04 16:34:25,87.3,0
2021-05-04 16:34:30,87,0
2021-05-04 16:34:35,86.9,0
2021-05-04 16:34:40,89.6,0
2021-05-04 16:34:45,89,0
2021-05-04 16:34:50,89.4,0
2021-05-04 16:34:55,94.8,0
2021-05-04 16:35:00,96.2,0
2021-05-04 16:35:05,96.3,0
2021-05-04 16:35:10,95.6,0
2021-05-04 16:35:15,102,0
2021-05-04 16:35:20,99.8,0
2021-05-04 16:35:25,97.7,0
2021-05-04 16:35:30,96.7,0
2021-05-04 16:35:35,100,0
2021-05-04 16:35:40,99.6,0
2021-05-04 16:35:45,101,0
2021-05-04 16:35:50,104,0
2021-05-04 16:35:55,105,0
2021-05-04 16:36:00,105,0
2021-05-04 16:36:05,109,0
