"Time","requests","fail"
2021-04-29 13:38:45,161,0
2021-04-29 13:38:50,162,0
2021-04-29 13:38:55,163,0
2021-04-29 13:39:00,167,0
2021-04-29 13:39:05,165,0
2021-04-29 13:39:10,162,0
2021-04-29 13:39:15,164,0
2021-04-29 13:39:20,170,0
2021-04-29 13:39:25,172,0
2021-04-29 13:39:30,172,0
2021-04-29 13:39:35,174,0
2021-04-29 13:39:40,176,0
2021-04-29 13:39:45,175,0
2021-04-29 13:39:50,171,0
2021-04-29 13:39:55,173,0
2021-04-29 13:40:00,175,0
2021-04-29 13:40:05,176,0
2021-04-29 13:40:10,169,0
2021-04-29 13:40:15,173,0
2021-04-29 13:40:20,186,0
2021-04-29 13:40:25,183,0
2021-04-29 13:40:30,181,0
2021-04-29 13:40:35,184,0
2021-04-29 13:40:40,186,0
2021-04-29 13:40:45,192,0
2021-04-29 13:40:50,189,0
2021-04-29 13:40:55,188,0
2021-04-29 13:41:00,193,0
2021-04-29 13:41:05,190,0
2021-04-29 13:41:10,188,0
2021-04-29 13:41:15,190,0
2021-04-29 13:41:20,196,0
2021-04-29 13:41:25,201,0
2021-04-29 13:41:30,200,0
2021-04-29 13:41:35,198,0
2021-04-29 13:41:40,202,0
2021-04-29 13:41:45,203,0
2021-04-29 13:41:50,205,0
2021-04-29 13:41:55,207,0
2021-04-29 13:42:00,196,0
2021-04-29 13:42:05,203,0
2021-04-29 13:42:10,209,0
2021-04-29 13:42:15,208,0
2021-04-29 13:42:20,205,0
2021-04-29 13:42:25,205,0
2021-04-29 13:42:30,211,0
2021-04-29 13:42:35,214,0
2021-04-29 13:42:40,214,0
2021-04-29 13:42:45,211,0
2021-04-29 13:42:50,210,0
2021-04-29 13:42:55,215,0
2021-04-29 13:43:00,214,0
2021-04-29 13:43:05,211,0
2021-04-29 13:43:10,218,0
2021-04-29 13:43:15,217,0
2021-04-29 13:43:20,215,0
2021-04-29 13:43:25,224,0
2021-04-29 13:43:30,223,0
2021-04-29 13:43:35,217,0
2021-04-29 13:43:40,215,0
2021-04-29 13:43:45,216,0
2021-04-29 13:43:50,225,0
2021-04-29 13:43:55,219,0
2021-04-29 13:44:00,214,0
2021-04-29 13:44:05,218,0
2021-04-29 13:44:10,216,0
2021-04-29 13:44:15,215,0
2021-04-29 13:44:20,215,0
2021-04-29 13:44:25,223,0
2021-04-29 13:44:30,223,0
2021-04-29 13:44:35,221,0
2021-04-29 13:44:40,222,0
2021-04-29 13:44:45,215,0
2021-04-29 13:44:50,215,0
2021-04-29 13:44:55,218,0
2021-04-29 13:45:00,219,0
2021-04-29 13:45:05,217,0
2021-04-29 13:45:10,221,0
2021-04-29 13:45:15,221,0
2021-04-29 13:45:20,216,0
2021-04-29 13:45:25,219,0
2021-04-29 13:45:30,220,0
2021-04-29 13:45:35,216,0
2021-04-29 13:45:40,217,0
2021-04-29 13:45:45,221,0
2021-04-29 13:45:50,221,0
2021-04-29 13:45:55,220,0
2021-04-29 13:46:00,216,0
2021-04-29 13:46:05,221,0
2021-04-29 13:46:10,221,0
2021-04-29 13:46:15,217,0
2021-04-29 13:46:20,221,0
2021-04-29 13:46:25,226,0
2021-04-29 13:46:30,228,0
2021-04-29 13:46:35,221,0
2021-04-29 13:46:40,223,0
2021-04-29 13:46:45,225,0
2021-04-29 13:46:50,225,0
2021-04-29 13:46:55,223,0
2021-04-29 13:47:00,221,0
2021-04-29 13:47:05,223,0
2021-04-29 13:47:10,226,0
2021-04-29 13:47:15,224,0
