"Time","requests","limits","exponential","usage"
2021-05-23 16:04:05,,,,
2021-05-23 16:04:10,,,0,
2021-05-23 16:04:15,,,0,
2021-05-23 16:04:20,,,0,
2021-05-23 16:04:25,,,0,
2021-05-23 16:04:30,,,0,
2021-05-23 16:04:35,,,0,
2021-05-23 16:04:40,,,0,
2021-05-23 16:04:45,,,0,
2021-05-23 16:04:50,,,0,
2021-05-23 16:04:55,,,0,0.0141
2021-05-23 16:05:00,,,0,0.0141
2021-05-23 16:05:05,,,0,0.0141
2021-05-23 16:05:10,,,0,0.0141
2021-05-23 16:05:15,,,0,0.0141
2021-05-23 16:05:20,,,0,0.0141
2021-05-23 16:05:25,,,0,0.0317
2021-05-23 16:05:30,,,0,0.0317
2021-05-23 16:05:35,,,0,0.0317
2021-05-23 16:05:40,,,0,0.0317
2021-05-23 16:05:45,,,0,0.0317
2021-05-23 16:05:50,,,0,0.0317
2021-05-23 16:05:55,,,0,0.0549
2021-05-23 16:06:00,,,0,0.0549
2021-05-23 16:06:05,,,0,0.0549
2021-05-23 16:06:10,,,0,0.0549
2021-05-23 16:06:15,,,0,0.0549
2021-05-23 16:06:20,,,0,0.0549
2021-05-23 16:06:25,,,0.0548,0.0929
2021-05-23 16:06:30,,,0.0548,0.0929
2021-05-23 16:06:35,,,0.0548,0.0929
2021-05-23 16:06:40,,,0.0548,0.0929
2021-05-23 16:06:45,,,0.0548,0.0929
2021-05-23 16:06:50,,,0.0548,0.0929
2021-05-23 16:06:55,,,0.0548,0.144
2021-05-23 16:07:00,,,0.0548,0.144
2021-05-23 16:07:05,,,0.0548,0.144
2021-05-23 16:07:10,,,0.0548,0.144
2021-05-23 16:07:15,,,0.0548,0.144
2021-05-23 16:07:20,,,0.0548,0.144
2021-05-23 16:07:25,,,0.0548,0.197
2021-05-23 16:07:30,,,0.0548,0.197
2021-05-23 16:07:35,,,0.0548,0.197
2021-05-23 16:07:40,,,0.0548,0.197
2021-05-23 16:07:45,,,0.0548,0.197
2021-05-23 16:07:50,,,0.0548,0.197
2021-05-23 16:07:55,,,0.0548,0.248
2021-05-23 16:08:00,,,0.0548,0.248
2021-05-23 16:08:05,,,0.0548,0.248
2021-05-23 16:08:10,,,0.0548,0.248
2021-05-23 16:08:15,,,0.0548,0.248
2021-05-23 16:08:20,,,0.0548,0.248
2021-05-23 16:08:25,,,0.0548,0.316
2021-05-23 16:08:30,,,0.0548,0.316
2021-05-23 16:08:35,,,0.0548,0.316
2021-05-23 16:08:40,,,0.0548,0.316
2021-05-23 16:08:45,,,0.0548,0.316
2021-05-23 16:08:50,,,0.0548,0.316
2021-05-23 16:08:55,,,0.315,0.398
2021-05-23 16:09:00,,,0.315,0.398
2021-05-23 16:09:05,,,0.315,0.398
2021-05-23 16:09:10,,,0.315,0.398
2021-05-23 16:09:15,,,0.315,0.398
2021-05-23 16:09:20,,,0.315,0.398
2021-05-23 16:09:25,,,0.315,0.478
2021-05-23 16:09:30,,,0.315,0.478
2021-05-23 16:09:35,,,0.315,0.478
2021-05-23 16:09:40,,,0.315,0.478
2021-05-23 16:09:45,,,0.315,0.478
2021-05-23 16:09:50,,,0.315,0.478
2021-05-23 16:09:55,,,0.315,0.563
2021-05-23 16:10:00,,,0.315,0.563
2021-05-23 16:10:05,,,0.315,0.563
2021-05-23 16:10:10,,,0.315,0.563
2021-05-23 16:10:15,,,0.315,0.563
2021-05-23 16:10:20,,,0.315,0.563
2021-05-23 16:10:25,,,0.315,0.649
2021-05-23 16:10:30,,,0.315,0.649
2021-05-23 16:10:35,,,0.315,0.649
2021-05-23 16:10:40,,,0.315,0.649
2021-05-23 16:10:45,,,0.315,0.649
2021-05-23 16:10:50,,,0.315,0.649
2021-05-23 16:10:55,,,0.315,0.716
2021-05-23 16:11:00,,,0.315,0.716
2021-05-23 16:11:05,,,0.315,0.716
2021-05-23 16:11:10,,,0.315,0.716
2021-05-23 16:11:15,,,0.315,0.716
2021-05-23 16:11:20,,,0.315,0.716
2021-05-23 16:11:25,,,0.709,0.811
2021-05-23 16:11:30,,,0.709,0.811
2021-05-23 16:11:35,,,0.709,0.811
2021-05-23 16:11:40,,,0.709,0.811
2021-05-23 16:11:45,,,0.709,0.811
