"Time","P95"
2021-06-29 16:34:20,2900
2021-06-29 16:34:25,4400
2021-06-29 16:34:30,4900
2021-06-29 16:34:35,5000
2021-06-29 16:34:40,5000
2021-06-29 16:34:45,5000
2021-06-29 16:34:50,5000
2021-06-29 16:34:55,5000
2021-06-29 16:35:00,5000
2021-06-29 16:35:05,5000
2021-06-29 16:35:10,5000
2021-06-29 16:35:15,5000
2021-06-29 16:35:20,5000
2021-06-29 16:35:25,5000
2021-06-29 16:35:30,5000
2021-06-29 16:35:35,5000
2021-06-29 16:35:40,5000
2021-06-29 16:35:45,5000
2021-06-29 16:35:50,5000
2021-06-29 16:35:55,5000
2021-06-29 16:36:00,5000
2021-06-29 16:36:05,5000
2021-06-29 16:36:10,5000
2021-06-29 16:36:15,5000
2021-06-29 16:36:20,5000
2021-06-29 16:36:25,5000
2021-06-29 16:36:30,4900
2021-06-29 16:36:35,5000
2021-06-29 16:36:40,5000
2021-06-29 16:36:45,5000
2021-06-29 16:36:50,4900
2021-06-29 16:36:55,5000
2021-06-29 16:37:00,8900
2021-06-29 16:37:05,8700
2021-06-29 16:37:10,5000
2021-06-29 16:37:15,5000
2021-06-29 16:37:20,5000
2021-06-29 16:37:25,5000
2021-06-29 16:37:30,5000
2021-06-29 16:37:35,5000
2021-06-29 16:37:40,5000
2021-06-29 16:37:45,5000
2021-06-29 16:37:50,5000
2021-06-29 16:37:55,4900
2021-06-29 16:38:00,5000
2021-06-29 16:38:05,5000
2021-06-29 16:38:10,5000
2021-06-29 16:38:15,4800
2021-06-29 16:38:20,5000
2021-06-29 16:38:25,5000
2021-06-29 16:38:30,5000
2021-06-29 16:38:35,5000
2021-06-29 16:38:40,5000
2021-06-29 16:38:45,5000
2021-06-29 16:38:50,5000
2021-06-29 16:38:55,4900
2021-06-29 16:39:00,4900
2021-06-29 16:39:05,4900
2021-06-29 16:39:10,5000
2021-06-29 16:39:15,5000
2021-06-29 16:39:20,4900
2021-06-29 16:39:25,3400
2021-06-29 16:39:30,1500
2021-06-29 16:39:35,1500
2021-06-29 16:39:40,1500
2021-06-29 16:39:45,1500
2021-06-29 16:39:50,1600
2021-06-29 16:39:55,2000
2021-06-29 16:40:00,1900
2021-06-29 16:40:05,1400
2021-06-29 16:40:10,1300
2021-06-29 16:40:15,1300
2021-06-29 16:40:20,1300
2021-06-29 16:40:25,1400
2021-06-29 16:40:30,1400
2021-06-29 16:40:35,1300
2021-06-29 16:40:40,1300
2021-06-29 16:40:45,1500
2021-06-29 16:40:50,3400
2021-06-29 16:40:55,3500
2021-06-29 16:41:00,3400
2021-06-29 16:41:05,1800
2021-06-29 16:41:10,1500
2021-06-29 16:41:15,1500
2021-06-29 16:41:20,1500
2021-06-29 16:41:25,1400
2021-06-29 16:41:30,1500
2021-06-29 16:41:35,2000
2021-06-29 16:41:40,1700
2021-06-29 16:41:45,1400
2021-06-29 16:41:50,3400
2021-06-29 16:41:55,3300
2021-06-29 16:42:00,2500
2021-06-29 16:42:05,1800
2021-06-29 16:42:10,1800
2021-06-29 16:42:15,2100
2021-06-29 16:42:20,2100
2021-06-29 16:42:25,2000
2021-06-29 16:42:30,1800
2021-06-29 16:42:35,1700
2021-06-29 16:42:40,1700
2021-06-29 16:42:45,1700
2021-06-29 16:42:50,1700
