"Time","P95"
2021-06-29 14:46:50,0
2021-06-29 14:46:55,20
2021-06-29 14:47:00,21
2021-06-29 14:47:05,21
2021-06-29 14:47:10,18
2021-06-29 14:47:15,17
2021-06-29 14:47:20,10
2021-06-29 14:47:25,9
2021-06-29 14:47:30,16
2021-06-29 14:47:35,17
2021-06-29 14:47:40,16
2021-06-29 14:47:45,16
2021-06-29 14:47:50,16
2021-06-29 14:47:55,12
2021-06-29 14:48:00,9
2021-06-29 14:48:05,9
2021-06-29 14:48:10,9
2021-06-29 14:48:15,14
2021-06-29 14:48:20,15
2021-06-29 14:48:25,8
2021-06-29 14:48:30,8
2021-06-29 14:48:35,8
2021-06-29 14:48:40,14
2021-06-29 14:48:45,15
2021-06-29 14:48:50,15
2021-06-29 14:48:55,14
2021-06-29 14:49:00,10
2021-06-29 14:49:05,9
2021-06-29 14:49:10,10
2021-06-29 14:49:15,8
2021-06-29 14:49:20,9
2021-06-29 14:49:25,12
2021-06-29 14:49:30,12
2021-06-29 14:49:35,11
2021-06-29 14:49:40,10
2021-06-29 14:49:45,12
2021-06-29 14:49:50,14
2021-06-29 14:49:55,9
2021-06-29 14:50:00,9
2021-06-29 14:50:05,8
2021-06-29 14:50:10,9
2021-06-29 14:50:15,9
2021-06-29 14:50:20,9
2021-06-29 14:50:25,10
2021-06-29 14:50:30,13
2021-06-29 14:50:35,13
2021-06-29 14:50:40,14
2021-06-29 14:50:45,9
2021-06-29 14:50:50,9
2021-06-29 14:50:55,9
2021-06-29 14:51:00,10
2021-06-29 14:51:05,9
2021-06-29 14:51:10,8
2021-06-29 14:51:15,9
2021-06-29 14:51:20,14
2021-06-29 14:51:25,15
2021-06-29 14:51:30,13
2021-06-29 14:51:35,10
2021-06-29 14:51:40,9
2021-06-29 14:51:45,10
2021-06-29 14:51:50,14
2021-06-29 14:51:55,11
2021-06-29 14:52:00,9
2021-06-29 14:52:05,11
2021-06-29 14:52:10,14
2021-06-29 14:52:15,11
2021-06-29 14:52:20,9
2021-06-29 14:52:25,8
2021-06-29 14:52:30,10
